column,run_type,head,n_categories,n_samples,f_stat,p_value,eta_squared
attribution,dropconnect,head1,13,5920,14.739685665521456,5.925713928034106e-31,0.02907294977051215
age_approx,dropconnect,head1,17,5109,6.2875478566137035,3.8492310150518065e-14,0.019396280965174494
anatom_site_general,dropconnect,head1,8,4016,4.839519097793754,1.9138918393755974e-05,0.008381412090174185
dermoscopic_type,dropconnect,head1,3,1414,5.973351848904787,0.002610519604757594,0.0083957492341517
diagnosis_1,dropconnect,head1,2,5920,89.09626811139361,5.280502807483186e-21,0.01483183623747803
diagnosis_2,dropconnect,head1,5,5920,32.27431092482056,1.1905798719822598e-26,0.021359226778467324
fitzpatrick_skin_type,dropconnect,head1,6,893,5.120075488603286,0.00012299048379867713,0.0280521223481687
sex,dropconnect,head1,2,5080,0.05155216526640377,0.8203932102570978,1.0151957839896675e-05
melanocytic,dropconnect,head1,2,4993,6.890660687857607,0.008691143519376412,0.00137871377260367
image_type,dropconnect,head1,3,5920,40.99777046423103,2.0755571888865686e-18,0.013668211681279494
attribution,dropconnect,head2,13,5920,12.382608231372082,2.435899867491948e-25,0.024537867805987486
age_approx,dropconnect,head2,17,5109,9.785841091204466,1.045720160481205e-24,0.0298657632038507
anatom_site_general,dropconnect,head2,8,4016,7.47504264000551,5.788252415903826e-09,0.012886972011731735
dermoscopic_type,dropconnect,head2,3,1414,6.09693096794494,0.0023094706564760637,0.008567955681949938
diagnosis_1,dropconnect,head2,2,5920,129.34407360795086,1.1568380332368425e-29,0.021388575221383425
diagnosis_2,dropconnect,head2,5,5920,43.34334122547853,6.670747838967981e-36,0.02847613878304048
fitzpatrick_skin_type,dropconnect,head2,6,893,8.134280100752514,1.6134085225667815e-07,0.04384246456415106
sex,dropconnect,head2,2,5080,0.048540545073632826,0.8256314333163599,9.558897416215567e-06
melanocytic,dropconnect,head2,2,4993,11.99388676208968,0.0005382370098901117,0.0023973418783951525
image_type,dropconnect,head2,3,5920,50.991595672736445,1.1048697525526964e-22,0.01694359131823323
attribution,dropout,head1,13,5920,25.823875722184063,1.5547996558194328e-57,0.04984593304610492
age_approx,dropout,head1,17,5109,11.01760477896869,1.6589556286983578e-28,0.033499095506793274
anatom_site_general,dropout,head1,8,4016,8.301602308299126,4.2791732604657996e-10,0.014291595352131278
dermoscopic_type,dropout,head1,3,1414,18.244299357119488,1.5042454782522176e-08,0.02520821148204601
diagnosis_1,dropout,head1,2,5920,281.487601070317,9.346802514956149e-62,0.04540497847301433
diagnosis_2,dropout,head1,5,5920,76.91155471860358,1.1034238667038432e-63,0.04943977337828841
fitzpatrick_skin_type,dropout,head1,6,893,9.762806770572615,4.290187919488101e-09,0.05216210923006744
sex,dropout,head1,2,5080,0.15304445274277662,0.695659197012412,3.0137818101003963e-05
melanocytic,dropout,head1,2,4993,21.22562896768244,4.184319113391756e-06,0.004234771245135279
image_type,dropout,head1,3,5920,31.522939002640836,2.4109188118858634e-14,0.010542708081415495
attribution,dropout,head2,13,5920,25.236086218474178,3.986553466301431e-56,0.0487666951644762
age_approx,dropout,head2,17,5109,16.52827344829892,1.0937454867312316e-45,0.049426171214960624
anatom_site_general,dropout,head2,8,4016,14.630771773245511,6.120227257831268e-19,0.024916071098946134
dermoscopic_type,dropout,head2,3,1414,16.20578539068036,1.1003593073797917e-07,0.022454836470387582
diagnosis_1,dropout,head2,2,5920,366.0702796401985,3.1804285424346414e-79,0.05825368962314632
diagnosis_2,dropout,head2,5,5920,118.40090906497835,2.5763203906642337e-97,0.07413257469470676
fitzpatrick_skin_type,dropout,head2,6,893,16.59599106621628,1.0895919902452895e-15,0.0855481135203026
sex,dropout,head2,2,5080,0.001419237993846125,0.9699500636500263,2.794875142155999e-07
melanocytic,dropout,head2,2,4993,33.93423536528944,6.057831673333555e-09,0.00675317004677626
image_type,dropout,head2,3,5920,52.301876222194615,3.048083953201862e-23,0.01737141079765118
attribution,ensemble,head1,13,5920,65.09988549511438,1.991984040999903e-149,0.11680254574248945
age_approx,ensemble,head1,17,5109,23.534793723149374,1.3877794840892676e-67,0.0689341493883267
anatom_site_general,ensemble,head1,8,4016,8.029941422691076,1.009606077308708e-09,0.013830386626150066
dermoscopic_type,ensemble,head1,3,1414,48.78650778718014,3.256558026405125e-21,0.06467901425189634
diagnosis_1,ensemble,head1,2,5920,167.79352516742006,7.313557754271306e-38,0.02757134701884321
diagnosis_2,ensemble,head1,5,5920,88.94349709872863,1.6078023375965376e-73,0.05673525932418104
fitzpatrick_skin_type,ensemble,head1,6,893,27.91735391593836,2.5594010756977753e-26,0.13597172077021974
sex,ensemble,head1,2,5080,0.9225782964595157,0.33684463690677435,0.00018164842685374402
melanocytic,ensemble,head1,2,4993,0.17134677875269724,0.6789354327813258,3.432997323629967e-05
image_type,ensemble,head1,3,5920,42.541323023345925,4.530133347129736e-19,0.014175520575800809
attribution,ensemble,head2,13,5920,52.44461310879515,2.1968180283982537e-120,0.09628259917878071
age_approx,ensemble,head2,17,5109,26.987462994583744,2.588163642573862e-78,0.07825572768993301
anatom_site_general,ensemble,head2,8,4016,17.076291664047115,2.1374334688605106e-22,0.028960158884745145
dermoscopic_type,ensemble,head2,3,1414,36.928038265607285,2.333414040526868e-16,0.04973955233678299
diagnosis_1,ensemble,head2,2,5920,173.2228537880437,5.146821833151986e-39,0.02843810806894363
diagnosis_2,ensemble,head2,5,5920,66.22249891925664,6.871318216169126e-55,0.042863221815003696
fitzpatrick_skin_type,ensemble,head2,6,893,32.52449976432179,1.650666125371226e-30,0.1549342730402426
sex,ensemble,head2,2,5080,0.2862197281883362,0.5926766896235527,5.636148019314654e-05
melanocytic,ensemble,head2,2,4993,21.59184373812583,3.45962365787125e-06,0.00430752082180778
image_type,ensemble,head2,3,5920,93.9535216051259,6.776523694684679e-41,0.030779673118731254
attribution,flipout,head1,13,5920,69.78737001732634,4.886634754989168e-160,0.12416855842730695
age_approx,flipout,head1,17,5109,43.93662460661154,5.699097690658295e-130,0.12143508284009032
anatom_site_general,flipout,head1,8,4016,14.615500228507129,6.431605111713474e-19,0.024890711137554727
dermoscopic_type,flipout,head1,3,1414,69.69412750573241,1.3663338245157853e-29,0.08990538631914106
diagnosis_1,flipout,head1,2,5920,39.365574231215945,3.76338612419442e-10,0.006607882920848964
diagnosis_2,flipout,head1,5,5920,72.68070995012187,3.291964871499617e-60,0.04684753852297952
fitzpatrick_skin_type,flipout,head1,6,893,39.589827872405465,8.848502163694352e-37,0.18245015566206674
sex,flipout,head1,2,5080,0.5939006427472459,0.4409505688413292,0.00011694194384632272
melanocytic,flipout,head1,2,4993,5.66079891308247,0.017385594605201456,0.0011329163897445026
image_type,flipout,head1,3,5920,27.28645404507132,1.5994040970194612e-12,0.009138782851702037
attribution,flipout,head2,13,5920,49.49093674783262,1.594454775183907e-113,0.0913553571286961
age_approx,flipout,head2,17,5109,47.603410779989595,6.789237114232764e-141,0.13024958349358112
anatom_site_general,flipout,head2,8,4016,20.83009604738619,1.0288681040098416e-27,0.035102869108344266
dermoscopic_type,flipout,head2,3,1414,70.57618997820433,6.125205264973075e-30,0.09093976968960542
diagnosis_1,flipout,head2,2,5920,87.43025403518352,1.2108211856309518e-20,0.014558532917177253
diagnosis_2,flipout,head2,5,5920,36.465445671444535,3.707934989597919e-30,0.02406617869136451
fitzpatrick_skin_type,flipout,head2,6,893,37.86605723505812,2.881152515524103e-35,0.1759035201434965
sex,flipout,head2,2,5080,0.061659576709772956,0.8039019228326109,1.2142345021251556e-05
melanocytic,flipout,head2,2,4993,36.16717654878738,1.9398843502700015e-09,0.007194345299974006
image_type,flipout,head2,3,5920,79.54989716890157,8.095274341474767e-35,0.026184526213026492
