model,skin_type,dataset,n_samples,h1_mean_entropy,h1_std_entropy,h2_mean_entropy,h2_std_entropy,h1_mean_confidence,h2_mean_confidence
ensemble,I,test_set,136,0.10757100972315672,0.1925934924460499,0.19126002929737349,0.29386077664859367,0.954835274689043,0.9291335888477029
ensemble,II,test_set,255,0.19040385898341378,0.23158543908895046,0.3275471149628707,0.3337004963351319,0.9192924170920769,0.8683165351085389
ensemble,III,test_set,160,0.10841407383821655,0.19450137280870702,0.21510733636152962,0.3365480108080332,0.9554398170170503,0.9150217952707657
ensemble,IV,test_set,119,0.05539423241022274,0.13200687930963695,0.10358413872666829,0.2406495989223022,0.9811318662614958,0.9633112481054
ensemble,V,test_set,114,0.006596970401829532,0.024513569818339617,0.02375600641445761,0.09732118052912635,0.9987320238055252,0.9919020908958298
ensemble,VI,test_set,109,0.009146854929561276,0.03546848601195341,0.016514561004760397,0.06478890803095831,0.9979978593882993,0.9955098249712988
dropout,I,test_set,136,0.05816459406735862,0.1623403775015433,0.09615522314433711,0.21956807899688122,0.9729999272981829,0.9599900688176739
dropout,II,test_set,255,0.08531250281257129,0.17591624016257368,0.15010628488713737,0.25586793369322075,0.9650965325405151,0.9351058577044317
dropout,III,test_set,160,0.06058631982077774,0.1651569205894365,0.10789149759885297,0.21969011749008627,0.9724156458676149,0.9567093043064272
dropout,IV,test_set,119,0.010823234690630608,0.06639150612406548,0.017235464054159183,0.09271770215027514,0.9958891668316903,0.9930058644220323
dropout,V,test_set,114,0.00657065787425488,0.057067632978316636,0.0077522424829835155,0.0460230025269881,0.9972170350770142,0.9978803304036117
dropout,VI,test_set,109,0.006698906037755331,0.06346933491240675,0.007473764922505284,0.07017952575454087,0.9964571164486706,0.996789231693184
dropconnect,I,test_set,136,0.044980929872404915,0.1384629236529941,0.059456674900008215,0.16329090734816348,0.9815423489362357,0.9760576910739156
dropconnect,II,test_set,255,0.0451220491536704,0.13815110693196653,0.07721841893309055,0.18670426051121608,0.9806217263004192,0.964619561625314
dropconnect,III,test_set,160,0.02720292286321792,0.10005957983444233,0.05088892598412824,0.15058244089549536,0.9899957774360264,0.980200961373505
dropconnect,IV,test_set,119,0.012552470447861435,0.0619450762540876,0.012676894253899488,0.061625417578966286,0.9962091208673195,0.9962160795346882
dropconnect,V,test_set,114,0.00027465106431863115,0.001066744930896652,0.004274445765805812,0.04227322202773254,0.9999693352574559,0.9985107570042291
dropconnect,VI,test_set,109,0.005673538156958443,0.05643256765803892,0.0054429442877248135,0.051878097592112,0.9974336976686846,0.9978099908099826
flipout,I,test_set,136,0.19822808654356242,0.22066180259681614,0.487402535914908,0.4556205161402394,0.9199501533553914,0.8143453914713805
flipout,II,test_set,255,0.2797367383017221,0.23352447998143963,0.5826518307533405,0.3890795340179073,0.8798445173145174,0.7764978776267276
flipout,III,test_set,160,0.20410601947440776,0.22468068054284457,0.457876486850206,0.45516826980147956,0.9151704163663512,0.8309908756873142
flipout,IV,test_set,119,0.11205127919423225,0.178772107739754,0.3217890941651965,0.43387495302560874,0.9577638254143155,0.8827257035274318
flipout,V,test_set,114,0.034463464624538115,0.1001831884815072,0.12084880911093449,0.2986694675800654,0.9892349667294296,0.9564347855720973
flipout,VI,test_set,109,0.03686437223876675,0.11994161402020971,0.09481044632476614,0.27014840622011954,0.985610381658115,0.9672392507970478
duq,I,test_set,136,0.09082727760112001,0.1803925897333806,0.2220335128122806,0.23884095107359105,0.9624502637258897,0.9302031901038136
duq,II,test_set,255,0.14950587228429968,0.21211795156085103,0.2778866256239992,0.2952094919679531,0.9377064973874685,0.8912756267030674
duq,III,test_set,160,0.09484875436920838,0.17499958840580881,0.23422240791594096,0.29572523638314285,0.9636966088589001,0.9196408308654288
duq,IV,test_set,119,0.05398439102960846,0.14917431317098667,0.14288585853343447,0.21014370481714326,0.9773921077919292,0.9574441256744953
duq,V,test_set,114,0.008480083921949245,0.049307278017907234,0.05535648031418531,0.1044986521264035,0.9975082052631093,0.9879988144598746
duq,VI,test_set,109,0.004802611207560296,0.024995008844890556,0.0449897590352934,0.06679335118322821,0.9989683344002674,0.991093135937256
