model,skin_type,diagnosis,mean_entropy,std_entropy,n_samples
dropconnect,I,benign,0.030428,0.114596,97
dropconnect,II,benign,0.037861,0.128738,124
dropconnect,III,benign,0.021596,0.089353,114
dropconnect,IV,benign,0.009427,0.05153,113
dropconnect,V,benign,0.00026,0.001064,111
dropconnect,VI,benign,0.005674,0.056433,109
dropconnect,I,malignant,0.081177,0.181795,39
dropconnect,II,malignant,0.051995,0.146668,131
dropconnect,III,malignant,0.041099,0.122678,46
dropconnect,IV,malignant,0.071408,0.163403,6
dropconnect,V,malignant,0.000813,0.00127,3
dropout,I,benign,0.020013,0.097666,97
dropout,II,benign,0.037653,0.111565,124
dropout,III,benign,0.024943,0.110838,114
dropout,IV,benign,0.004656,0.032095,113
dropout,V,benign,0.000645,0.004226,111
dropout,VI,benign,0.006699,0.063469,109
dropout,I,malignant,0.153055,0.237851,39
dropout,II,malignant,0.130425,0.210881,131
dropout,III,malignant,0.14892,0.233098,46
dropout,IV,malignant,0.126981,0.252784,6
dropout,V,malignant,0.225822,0.330101,3
duq,I,benign,0.065153,0.154211,97
duq,II,benign,0.103177,0.180165,124
duq,III,benign,0.071363,0.143817,114
duq,IV,benign,0.049988,0.144985,113
duq,V,benign,0.003969,0.017949,111
duq,VI,benign,0.004803,0.024995,109
duq,I,malignant,0.154684,0.22285,39
duq,II,malignant,0.193359,0.230683,131
duq,III,malignant,0.153051,0.226738,46
duq,IV,malignant,0.129257,0.217138,6
duq,V,malignant,0.175374,0.277011,3
ensemble,I,benign,0.073771,0.16496,97
ensemble,II,benign,0.161706,0.220202,124
ensemble,III,benign,0.079612,0.167815,114
ensemble,IV,benign,0.049815,0.127065,113
ensemble,V,benign,0.004922,0.022442,111
ensemble,VI,benign,0.009147,0.035468,109
ensemble,I,malignant,0.191638,0.229913,39
ensemble,II,malignant,0.217568,0.239544,131
ensemble,III,malignant,0.179792,0.235885,46
ensemble,IV,malignant,0.160471,0.188782,6
ensemble,V,malignant,0.068557,0.018367,3
flipout,I,benign,0.179157,0.229915,97
flipout,II,benign,0.28287,0.249098,124
flipout,III,benign,0.173587,0.215982,114
flipout,IV,benign,0.108852,0.181576,113
flipout,V,benign,0.029533,0.096459,111
flipout,VI,benign,0.036864,0.119942,109
flipout,I,malignant,0.245661,0.190271,39
flipout,II,malignant,0.276771,0.218685,131
flipout,III,malignant,0.27974,0.230265,46
flipout,IV,malignant,0.172308,0.105495,6
flipout,V,malignant,0.216884,0.063793,3
