head,method_a,method_b,spearman_rho,p_value
head1,dropconnect,dropout,0.6983557314802593,0.0
head1,dropconnect,duq,0.6804186820752715,0.0
head1,dropconnect,ensemble,0.724214904035142,0.0
head1,dropconnect,flipout,0.5401089418340691,0.0
head1,dropout,duq,0.7506654250602689,0.0
head1,dropout,ensemble,0.7934667098624878,0.0
head1,dropout,flipout,0.6300251573212999,0.0
head1,duq,ensemble,0.9050300517572116,0.0
head1,duq,flipout,0.7479682677370943,0.0
head1,ensemble,flipout,0.7890828797633297,0.0
head2,dropconnect,dropout,0.7208577342437533,0.0
head2,dropconnect,duq,0.6903888327095298,0.0
head2,dropconnect,ensemble,0.7368841793743972,0.0
head2,dropconnect,flipout,0.534542795978091,0.0
head2,dropout,duq,0.6990569931329227,0.0
head2,dropout,ensemble,0.7865764525277118,0.0
head2,dropout,flipout,0.6060381663257245,0.0
head2,duq,ensemble,0.8528324749174985,0.0
head2,duq,flipout,0.6594524962839007,0.0
head2,ensemble,flipout,0.7525363142377797,0.0
