method,head,tier,n_samples,accuracy,mean_entropy,mean_confidence,overconfidence_rate
dropconnect,head1,0,4809,0.9841962986067789,0.020276185355602525,0.9920768593138584,0.4473684210526316
dropconnect,head1,1,564,0.8652482269503546,0.08920342728122371,0.9616116103049867,0.6447368421052632
dropconnect,head1,2,190,0.7105263157894737,0.1472645322833097,0.9396828549739709,0.6545454545454545
dropconnect,head1,3,182,0.5384615384615384,0.17171410352447633,0.9298634156771742,0.75
dropconnect,head1,4,175,0.18857142857142858,0.14194687019111032,0.940398959799733,0.8098591549295775
dropconnect,head2,0,4140,0.9871980676328502,0.017087906213096235,0.9933504170877634,0.5471698113207547
dropconnect,head2,1,958,0.8883089770354906,0.07885238776601607,0.9687154710230599,0.5981308411214953
dropconnect,head2,2,281,0.7046263345195729,0.16685749838284486,0.9315682298772276,0.6385542168674698
dropconnect,head2,3,293,0.5699658703071673,0.19302571035117805,0.9159932127381347,0.6984126984126984
dropconnect,head2,4,248,0.15725806451612903,0.18155315668518754,0.9289882366335199,0.7990430622009569
dropout,head1,0,4817,0.982561760431804,0.04086763474421608,0.9831920314416207,0.27380952380952384
dropout,head1,1,545,0.8807339449541285,0.1486602776784659,0.9386066197391334,0.4307692307692308
dropout,head1,2,197,0.7411167512690355,0.2487706434008277,0.8853269798395503,0.37254901960784315
dropout,head1,3,190,0.5368421052631579,0.30517674893004826,0.8607541789546062,0.48863636363636365
dropout,head1,4,171,0.1695906432748538,0.21044364948487237,0.9044803346177954,0.7535211267605634
dropout,head2,0,4167,0.9808015358771298,0.04071461166208735,0.9836113102243106,0.3125
dropout,head2,1,919,0.8966267682263329,0.15329370352393173,0.9350011032591723,0.21052631578947367
dropout,head2,2,291,0.7216494845360825,0.28072695161881045,0.8816265545340077,0.4074074074074074
dropout,head2,3,287,0.5888501742160279,0.34531277690327705,0.8459097436385686,0.4491525423728814
dropout,head2,4,256,0.18359375,0.2942425188879118,0.8699839209116185,0.645933014354067
duq,head1,0,4784,0.9893394648829431,0.07370863257722154,0.9722783023946793,0.09803921568627451
duq,head1,1,622,0.8247588424437299,0.36310445643328804,0.8306517429721163,0.07339449541284404
duq,head1,2,227,0.44933920704845814,0.4962522696260609,0.7501976796975134,0.192
duq,head1,3,138,0.2028985507246377,0.4452865702600928,0.7780945955900529,0.35454545454545455
duq,head1,4,149,0.04697986577181208,0.2619037176707922,0.8885414640538244,0.676056338028169
duq,head2,0,4155,0.9836341756919375,0.10321170185621104,0.9645223370925496,0.10294117647058823
duq,head2,1,955,0.875392670157068,0.3715471325446165,0.8499573912564644,0.12605042016806722
duq,head2,2,377,0.493368700265252,0.5551238020788782,0.7600280894926106,0.2356020942408377
duq,head2,3,204,0.28921568627450983,0.5648163705574792,0.7627498572814136,0.3724137931034483
duq,head2,4,229,0.08733624454148471,0.4254115361587449,0.8325152880270864,0.5550239234449761
ensemble,head1,0,4758,0.994745691467003,0.09046955373127691,0.9673008062440107,0.0
ensemble,head1,1,594,0.9074074074074074,0.3855388446659178,0.8208569720447424,0.03636363636363636
ensemble,head1,2,274,0.5693430656934306,0.5651856571060618,0.7030729691116657,0.06779661016949153
ensemble,head1,3,136,0.25735294117647056,0.5473436374847361,0.7157377118428806,0.18811881188118812
ensemble,head1,4,158,0.10126582278481013,0.35506719218458654,0.8461377320500738,0.5070422535211268
ensemble,head2,0,4109,0.9946458992455586,0.09676470680927679,0.9673828161156731,0.0
ensemble,head2,1,974,0.9055441478439425,0.44766553526113073,0.8141174614447523,0.0
ensemble,head2,2,408,0.5220588235294118,0.7093015733129847,0.6754005053987947,0.046153846153846156
ensemble,head2,3,208,0.2644230769230769,0.7393952068076326,0.6718989957242184,0.1503267973856209
ensemble,head2,4,221,0.05429864253393665,0.5311441857873377,0.7893726696087889,0.39712918660287083
flipout,head1,0,5061,0.9351906737798854,0.21796022476794477,0.9074383698274451,0.04878048780487805
flipout,head1,1,353,0.6685552407932012,0.47271997020570367,0.7696459586968379,0.1452991452991453
flipout,head1,2,204,0.46078431372549017,0.4998657275032454,0.758044013494224,0.21818181818181817
flipout,head1,3,128,0.3359375,0.5021414562533144,0.7487407960812562,0.24705882352941178
flipout,head1,4,174,0.1839080459770115,0.4373201065524069,0.79745013750929,0.3380281690140845
flipout,head2,0,4768,0.8571728187919463,0.37807331667888516,0.852520778105788,0.055800293685756244
flipout,head2,1,420,0.530952380952381,0.7458220542128137,0.7007248811352821,0.116751269035533
flipout,head2,2,308,0.35064935064935066,0.8055214123512529,0.6676070697895893,0.125
flipout,head2,3,168,0.2976190476190476,0.8111332261009433,0.6660482087660403,0.16101694915254236
flipout,head2,4,256,0.18359375,0.7913461784478897,0.6787707874318585,0.24401913875598086
