dataset,head,tier,n_samples,fraction
test_set,head1,0,4733,0.7994932432432432
test_set,head1,1,564,0.09527027027027027
test_set,head1,2,211,0.03564189189189189
test_set,head1,3,153,0.025844594594594594
test_set,head1,4,117,0.019763513513513513
test_set,head1,5,142,0.023986486486486488
test_set,head2,0,4087,0.6903716216216216
test_set,head2,1,904,0.1527027027027027
test_set,head2,2,305,0.05152027027027027
test_set,head2,3,250,0.04222972972972973
test_set,head2,4,165,0.02787162162162162
test_set,head2,5,209,0.035304054054054054
test_indeterminate_set,head1,0,432,0.1313469139556096
test_indeterminate_set,head1,1,422,0.1283064761325631
test_indeterminate_set,head1,2,295,0.0896929157798723
test_indeterminate_set,head1,3,391,0.11888111888111888
test_indeterminate_set,head1,4,530,0.1611432046214655
test_indeterminate_set,head1,5,1219,0.3706293706293706
test_indeterminate_set,head2,0,9,0.002736394040741867
test_indeterminate_set,head2,1,14,0.004256612952265126
test_indeterminate_set,head2,2,37,0.01124961994527212
test_indeterminate_set,head2,3,83,0.025235633931286104
test_indeterminate_set,head2,4,240,0.07297050775311645
test_indeterminate_set,head2,5,2906,0.8835512313773183
